<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni_min data from 1981010100 to 1981123123</B><hr><pre>Selected parameters:
 1 ID for IMF spacecraft
 2 ID for SW Plasma spacecraft
 3 # of points in IMF averages 
 4 # of points in Plasma averages
 5 Percent of Interpolation
 6 Timeshift
 7 RMS, Timeshift
 8 RMS Min_var
 9 Time btwn observations,sec
10 Field magnitude average, nT
11 BX, nT (GSE, GSM)
12 BY, nT (GSE)
13 BZ, nT (GSE)
14 BY, nT (GSM)
15 BZ, nT (GSM)
16 RMS SD B scalar, nT
17 RMS SD field vector, nT
18 Speed, km/s
19 Vx Velocity,km/s
20 Vy Velocity, km/s
21 Vz Velocity, km/s
22 Proton Density, n/cc
23 Proton Temperature, K
24 Flow pressure, nPa
25 Electric field, mV/m 
26 Plasma beta
27 Alfven mach number
28 S/C, Xgse,Re
29 S/C, Ygse,Re
30 S/c, Zgse,Re
31 BSN location, Xgse,Re
32 BSN location, Ygse,Re
33 BSN location, Zgse,Re
34 AE-index, nT
35 AL-index, nT
36 AU-index, nT
37 SYM/D, nT
38 SYM/H, nT
39 ASY/D, nT
40 ASY/H, nT
41 PCN-index
42 Magnetosonic Mach number

YYYY DOY HR MN  1  2  3   4   5      6      7     8      9      10      11      12      13      14      15      16      17      18      19      20      21     22       23    24     25     26    27      28      29      30      31      32      33    34    35    36    37    38    39    40     41   42 
1981  36  6  1 50 99   2 999 100     26     15  0.02      2    6.20   -0.53    1.48   -6.00    2.89   -5.46    0.01    0.05 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.46   -0.20    0.13   379  -160   219     5   -28    17    18   3.56 99.9
1981  36  6  2 50 50   2   1 100     78      8  0.01      8    6.18   -0.35    1.45   -5.99    2.85   -5.46    0.00    0.04   387.7  -386.9   -24.3    -6.1   6.03   38186.  1.81   2.12   1.09   7.7   -4.47  -37.85   -5.30   12.34   -0.13   -0.07   377  -161   216     5   -28    18    18   3.58  5.5
1981  36  6  3 50 50   2   1 100    118     19  0.02     19    6.14   -0.84    1.19   -5.93    2.58   -5.47    0.02    0.29   387.7  -386.9   -24.3    -6.1   6.03   38186.  1.81   2.12   1.11   7.8   -4.47  -37.85   -5.30   12.16   -0.07   -0.39   378  -165   213     5   -27    17    18   3.57  5.5
1981  36  6  4 50 50   2   1 100    131     11  0.01     46    6.13   -1.02    1.11   -5.90    2.49   -5.46    0.01    0.22   397.7  -396.0   -29.1    22.9   7.38   73545.  2.33   2.17   1.65   8.8   -4.46  -37.85   -5.30   12.11   -0.06   -0.48   378  -168   210     5   -27    18    18   3.47  5.7
1981  36  6  5 50 50   1   1 100    179      0  0.00     12    6.19   -1.90    0.93   -5.79    2.28   -5.40    0.00    0.00   397.7  -396.0   -29.1    22.9   7.38   73545.  2.33   2.15   1.62   8.7   -4.46  -37.85   -5.30   12.06   -0.05   -0.62   376  -167   209     5   -26    18    17   3.30  5.6
1981  36  6  6 50 99   1 999 100    231      0  0.00      8    6.15   -1.98    1.19   -5.69    2.51   -5.24    0.00    0.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.25   -0.11   -0.47   362  -159   203     5   -26    17    17   3.25 99.9
1981  36  6  7 50 50   1   1 100    291      0  0.00      0    6.16   -1.37    1.22   -5.86    2.57   -5.40    0.00    0.00   396.6  -395.6   -24.9    11.8   6.20   49292.  1.95   2.14   1.21   8.0   -4.46  -37.85   -5.30   12.37   -0.16   -0.36   345  -158   187     5   -26    16    17   3.20  5.6
1981  36  6  8 50 99   1 999 100    358      0  0.00     -7    6.12   -1.37    1.24   -5.82    2.58   -5.36    0.00    0.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.42   -0.19   -0.31   337  -158   179     5   -26    16    16   3.11 99.9
1981  36  6 10 50 99   1 999 100    434      0  0.00 999999    6.15   -1.07    1.02   -5.95    2.39   -5.55    0.00    0.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.44   -0.22   -0.27   330  -160   170     4   -24    16    15   2.96 99.9
1981  36  6 11 50 99   1 999 100    517      0  0.00    -22    6.14   -0.69    0.87   -6.02    2.25   -5.65    0.00    0.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.47   -0.25   -0.23   338  -157   181     4   -24    16    15   3.07 99.9
1981  36  6 12 50 99   2 999  50    -57    304  0.33    633    6.48    0.23    1.75   -6.19    3.14   -5.61    0.18    0.68 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.45   -0.32   -0.09   351  -158   193     5   -25    17    16   3.19 99.9
1981  36  6 13 50 50  15   1  67    108    162  0.16   -105    6.49    0.54    2.23   -6.04    3.57   -5.36    0.09    0.55   381.0  -380.6   -16.6    -6.6   6.03   41858.  1.75   2.04   1.01   7.2   -4.39  -37.87   -5.35   12.52   -0.36   -0.07   352  -162   190     5   -25    17    15   3.20  5.3
1981  36  6 14 50 50  13   3  54    130    153  0.18     37    6.52    0.92    2.40   -5.97    3.71   -5.25    0.04    0.53   380.8  -380.3   -17.6    -1.2   6.07   40971.  1.76   2.00   1.01   7.2   -4.39  -37.86   -5.35   12.55   -0.38   -0.05   334  -157   177     5   -25    17    16   3.21  5.3
1981  36  6 15 50 50  10   2  50    266    247  0.23    -75    6.51    1.22    2.51   -5.84    3.79   -5.11    0.09    0.60   381.4  -380.9   -19.5    -0.4   6.21   41457.  1.81   1.95   1.04   7.3   -4.34  -37.88   -5.38   12.59   -0.36   -0.03   326  -153   173     5   -25    17    16   3.18  5.3
1981  36  6 16 50 50   6   1  50    273    234  0.23     53    6.44    0.92    2.11   -5.95    3.42   -5.31    0.14    0.84   383.3  -382.8   -19.4     2.7   6.28   38842.  1.85   2.04   1.05   7.5   -4.34  -37.88   -5.38   12.57   -0.36   -0.10   326  -156   170     4   -25    18    16   3.12  5.4
1981  36  6 17 50 50  13   2  31    103    252  0.23    229    6.58    1.31    1.84   -6.16    3.20   -5.58    0.16    0.51   377.7  -377.0   -20.0    10.0   6.14   53476.  1.75   2.11   1.07   7.1   -4.36  -37.87   -5.37   12.53   -0.32   -0.15   326  -164   162     4   -25    18    16   3.20  5.1
1981  36  6 18 50 50   9   2  44    183    397  0.36    -19    6.42    0.72    1.29   -6.07    2.64   -5.62    0.16    1.38   382.3  -381.5   -20.0   -12.6   6.47   52671.  1.89   2.15   1.18   7.6   -4.30  -37.88   -5.41   12.47   -0.33    0.06   329  -163   166     4   -25    18    15   3.34  5.3
1981  36  6 19 50 50   9   1  22     96    348  0.31    147    6.40    0.11    0.66   -6.13    2.03   -5.82    0.07    1.61   383.3  -382.8   -20.1    -1.3   6.70   47111.  1.97   2.23   1.19   7.8   -4.30  -37.88   -5.41   12.41   -0.32    0.02   345  -167   178     4   -25    16    15   3.24  5.4
1981  36  6 20 50 50   9   1  22    202    426  0.35    -45    6.42    0.04    0.91   -6.15    2.27   -5.79    0.07    1.56   383.8  -383.3   -19.4     2.7   5.86   45329.  1.73   2.22   1.03   7.2   -4.44  -37.86   -5.31   12.41   -0.31    0.04   354  -172   182     4   -25    16    15   3.23  5.3
1981  36  6 21 50 99   5 999  40    360    497  0.41    -98    6.35    0.38    1.76   -5.88    3.04   -5.33    0.05    1.54 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.47   -0.30   -0.22   346  -169   177     4   -25    16    15   3.25 99.9
1981  36  6 22 50 50   5   1  40    284    494  0.38    135    6.42    0.46    1.35   -6.07    2.68   -5.61    0.04    1.49   382.4  -381.7   -22.0     8.7   6.87   47834.  2.01   2.15   1.22   7.8   -4.28  -37.89   -5.42   12.39   -0.29   -0.21   348  -163   185     4   -25    15    15   3.27  5.4
1981  36  6 23 50 99   6 999  50    530    569  0.41   -185    6.40    0.31    1.55   -6.05    2.86   -5.55    0.07    1.27 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.45   -0.31   -0.13   354  -162   192     4   -25    15    15   3.21 99.9
1981  36  6 24 50 50   4   1  25    342    521  0.36    247    6.39    0.37    1.34   -6.09    2.66   -5.64    0.05    1.36   381.7  -381.1   -21.3     0.7   6.87   41858.  2.00   2.15   1.19   7.8   -4.27  -37.89   -5.43   12.38   -0.29   -0.07   354  -165   189     3   -25    15    15   3.23  5.5
1981  36  6 25 50 99   9 999  89    143    407  0.27    258    6.40    0.60    0.83   -6.26    2.20   -5.92    0.05    0.78 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.29   -0.27   -0.06   352  -165   187     3   -25    15    15   3.34 99.9
1981  36  6 26 50 99  10 999  90    119    465  0.31     84    6.46    0.74    0.60   -6.33    1.98   -6.04    0.07    0.79 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.27   -0.26   -0.09   356  -164   192     4   -25    14    15   3.28 99.9
1981  36  6 27 50 50   8   1  88   -109     12  0.02    287    6.42    0.45   -0.15   -6.39    1.26   -6.27    0.06    0.21   380.7  -380.0   -22.6     4.0   6.96   38186.  2.02   2.39   1.17   7.8   -4.22  -37.90   -5.46   12.20   -0.23   -0.12   375  -173   202     4   -25    14    15   3.21  5.5
1981  36  6 28 50 50   7   2  14   -136      6  0.01     87    6.39    0.34   -0.38   -6.36    1.02   -6.29    0.04    0.19   382.0  -381.2   -24.0     4.7   7.21   54450.  2.10   2.40   1.34   8.0   -4.22  -37.90   -5.47   12.16   -0.20   -0.09   371  -171   200     4   -25    15    15   3.23  5.5
1981  36  6 29 50 50   4   1   0   -143      1  0.00     67    6.48    0.16   -0.08   -6.45    1.33   -6.31    0.03    0.41   383.0  -382.3   -23.4     0.0   6.96   41858.  2.04   2.42   1.17   7.8   -4.21  -37.90   -5.48   12.17   -0.19    0.05   365  -170   195     4   -25    15    15   3.19  5.5
1981  36  6 30 50 50   6   2   0   -141      4  0.01     57    6.55   -0.34   -0.46   -6.51    0.97   -6.45    0.04    0.25   382.4  -381.6   -24.7    -4.0   7.04   45677.  2.06   2.47   1.19   7.7   -4.20  -37.90   -5.48   12.17   -0.19    0.11   364  -174   190     4   -25    15    15   3.10  5.4
1981  36  6 31 50 50   4   1   0   -145      1  0.00     64    6.34   -0.49   -0.07   -6.32    1.30   -6.19    0.02    0.07   383.7  -383.0   -22.8    -2.7   6.87   45329.  2.02   2.38   1.23   7.9   -4.19  -37.90   -5.49   12.18   -0.22    0.09   362  -181   181     3   -25    15    15   3.12  5.5
1981  36  6 32 50 50  12   3  33   -201     46  0.08    115    6.40   -0.13   -0.50   -6.33    0.88   -6.29    0.11    0.77   383.3  -382.6   -22.6    -2.2   7.10   42502.  2.09   2.41   1.23   8.0   -4.17  -37.91   -5.50   12.14   -0.22    0.00   370  -192   178     3   -25    15    16   3.19  5.6
1981  36  6 33 50 50   8   2  13   -238     51  0.09     97    6.51   -0.20   -1.45   -6.25   -0.07   -6.42    0.17    1.07   385.3  -384.6   -23.1     1.3   7.26   52866.  2.16   2.47   1.29   8.0   -4.17  -37.91   -5.50   12.25   -0.13    0.03   378  -197   181     4   -25    14    16   3.27  5.5
1981  36  6 34 50 50   4   1   0   -261      2  0.01     82    6.59   -0.20   -2.40   -6.12   -1.03   -6.49    0.05    0.16   382.1  -381.0   -28.0    -7.3   6.37   42541.  1.86   2.48   1.04   7.3   -4.14  -37.91   -5.52   12.39   -0.09    0.23   387  -199   188     3   -25    14    16   3.29  5.3
1981  36  6 35 50 50   3   1   0   -242      6  0.02     41    6.46   -0.29   -2.25   -6.04   -0.91   -6.38    0.10    0.11   383.1  -382.2   -25.4    -7.4   6.87   43577.  2.02   2.44   1.18   7.8   -4.13  -37.92   -5.53   12.27   -0.14    0.22   387  -199   188     3   -25    14    16   3.35  5.5
1981  36  6 36 50 50   4   1  75   -225      0  0.00     43    6.41   -0.23   -1.86   -6.12   -0.52   -6.38    0.02    0.34   383.0  -382.4   -20.7     2.7   7.29   59259.  2.14   2.44   1.38   8.1   -4.12  -37.92   -5.53   12.18   -0.24    0.02   390  -202   188     3   -25    15    15   3.35  5.4
1981  36  6 37 50 50   5   1 100   -227      0  0.00     61    6.34   -0.29   -2.65   -5.67   -1.39   -6.10    0.02    0.51   383.0  -382.4   -20.7     2.7   7.29   59259.  2.14   2.34   1.42   8.2   -4.12  -37.92   -5.53   12.19   -0.24    0.02   384  -201   183     3   -25    14    15   3.43  5.5
1981  36  6 38 50 50   5   1 100   -229      0  0.00     61    6.24   -0.29   -3.12   -5.37   -1.92   -5.91    0.07    0.36   381.3  -380.4   -25.3    -6.7   7.46   41178.  2.17   2.25   1.35   8.3   -4.10  -37.92   -5.55   12.22   -0.17    0.17   392  -209   183     3   -25    13    15   3.40  5.7
1981  36  6 39 50 50   5   1 100   -230      1  0.00     60    6.24   -0.36   -3.16   -5.26   -1.98   -5.81    0.03    0.83   381.3  -380.4   -25.3    -6.7   7.46   41178.  2.17   2.22   1.35   8.3   -4.10  -37.92   -5.55   12.23   -0.15    0.22   385  -211   174     3   -25    14    15   3.35  5.7
1981  36  6 40 50 99   5 999 100   -229      0  0.00     59    6.23   -0.12   -2.42   -5.72   -1.17   -6.10    0.03    0.16 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.17   -0.15    0.23   382  -219   163     3   -24    13    15   3.39 99.9
1981  36  6 41 50 99   4 999 100   -230      0  0.00     60    6.35   -0.45   -2.48   -5.80   -1.22   -6.19    0.03    0.40 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.17   -0.15    0.24   369  -215   154     3   -24    13    15   3.44 99.9
1981  36  6 57 50 99   3 999 100   -229      0  0.00 999999    6.60    0.44   -1.41   -6.43   -0.12   -6.58    0.06    0.07 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.26   -0.22    0.40   432  -317   115     4   -25    17    17   3.24 99.9
1981  36  6 58 50 99   5 999 100   -231      0  0.00     61    6.52    0.24   -1.74   -6.25   -0.49   -6.47    0.10    0.50 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.30   -0.22    0.41   462  -320   141     4   -25    16    17   3.20 99.9
1981  36  6 59 50 99   5 999 100   -232      0  0.00     60    6.55    0.28   -1.63   -6.32   -0.37   -6.52    0.06    0.39 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.30   -0.23    0.42   443  -315   127     4   -25    16    17   3.15 99.9
1981  36  7  0 50 50   5   1 100   -233      0  0.00     61    6.61    0.12   -2.01   -6.28   -0.76   -6.55    0.06    0.17   382.5  -381.6   -22.7   -13.3   6.62   40170.  1.94   2.51   1.06   7.4   -3.91  -37.95   -5.67   12.30   -0.23    0.33   406  -305   100     4   -25    16    16   3.19  5.4
1981  36  7  1 50 50   5   1 100   -233      0  0.00     60    6.67    0.05   -2.07   -6.33   -0.81   -6.61    0.02    0.14   382.7  -382.0   -22.7     0.0   6.87   35297.  2.01   2.53   1.05   7.5   -3.90  -37.95   -5.68   12.26   -0.24    0.12   423  -300   122     4   -25    15    16   3.18  5.4
1981  36  7  2 50 50   5   1 100   -235      0  0.00     61    6.70    0.08   -2.05   -6.38   -0.79   -6.65    0.01    0.08   381.9  -381.1   -21.3   -13.3   6.54   34669.  1.91   2.54   0.99   7.3   -3.89  -37.95   -5.68   12.32   -0.25    0.28   421  -306   114     4   -25    13    16   3.18  5.4
1981  36  7  3 50 50   5   1 100   -236      0  0.00     60    6.70    0.23   -2.09   -6.36   -0.84   -6.64    0.02    0.08   381.5  -380.7   -24.0     4.0   6.79   29539.  1.98   2.53   0.99   7.4   -3.88  -37.95   -5.69   12.26   -0.19   -0.11   406  -321    84     4   -25    11    16   3.12  5.4
1981  36  7  4 50 99   5 999 100   -236      0  0.00     60    6.69    0.13   -2.26   -6.29   -1.02   -6.61    0.03    0.06 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.25   -0.20   -0.13   434  -338    96     4   -25    11    16   3.04 99.9
1981  36  7  5 50 50   5   1 100   -236      0  0.00     60    6.70    0.02   -2.32   -6.28   -1.09   -6.61    0.00    0.14   382.1  -381.4   -23.3     4.0   6.96   29539.  2.03   2.53   1.02   7.5   -3.86  -37.96   -5.71   12.23   -0.21   -0.12   439  -325   113     4   -25    10    16   3.04  5.5
1981  36  7  6 50 50   6   2  67   -238      0  0.00     61    6.73    0.05   -2.40   -6.27   -1.17   -6.61    0.03    0.23   381.3  -380.6   -22.6    -8.0   6.80   32056.  1.98   2.52   1.00   7.4   -3.85  -37.96   -5.71   12.26   -0.23    0.13   445  -324   120     4   -25    10    16   3.02  5.4
1981  36  7  7 50 50   7   3   0   -258     29  0.05     79    6.72    0.22   -2.23   -6.34   -1.00   -6.65    0.07    0.12   381.7  -381.1   -20.6     4.5   7.04   41029.  2.05   2.54   1.10   7.5   -3.85  -37.96   -5.71   12.21   -0.27   -0.10   436  -328   108     4   -25    11    17   3.03  5.4
1981  36  7  8 50 50   6   1   0   -268     37  0.06     70    6.71    0.06   -2.17   -6.34   -0.94   -6.63    0.02    0.17   381.6  -380.9   -22.6     4.0   6.96   35297.  2.03   2.53   1.05   7.5   -3.84  -37.96   -5.72   12.20   -0.24    0.08   423  -323   100     4   -25     9    17   3.09  5.4
1981  36  7  9 50 50   3   1   0   -265     50  0.09     57    6.65   -0.12   -2.29   -6.23   -1.09   -6.55    0.05    0.24   381.6  -380.7   -22.0   -13.3   7.04   36248.  2.05   2.50   1.09   7.6   -3.83  -37.96   -5.73   12.19   -0.26    0.30   432  -318   113     4   -25    11    17   3.14  5.5
1981  36  7 10 50 99   5 999   0   -244     39  0.07     38    6.68   -0.26   -2.38   -6.23   -1.18   -6.56    0.02    0.13 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.16   -0.28    0.17   456  -310   145     4   -25    11    17   3.21 99.9
1981  36  7 11 50 99   2 999   0   -253     37  0.07     69    6.62   -0.14   -2.51   -6.11   -1.34   -6.47    0.01    0.12 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.12   -0.32   -0.15   455  -301   153     4   -25    11    17   3.24 99.9
1981  36  7 12 50 99   2 999   0   -177      3  0.01    -15    6.66   -0.27   -2.40   -6.19   -1.22   -6.53    0.01    0.04 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.13   -0.32   -0.07   423  -292   130     4   -26    12    17   3.31 99.9
1981  36  7 13 50 50   4   1   0   -167      7  0.01     49    6.62   -0.28   -2.46   -6.14   -1.29   -6.49    0.01    0.10   379.3  -378.7   -19.2     7.9   7.54   40170.  2.17   2.46   1.21   7.9   -3.80  -37.97   -5.74   12.11   -0.34   -0.21   417  -295   121     4   -26    13    17   3.32  5.5
1981  36  7 14 50 50   7   1   0   -183     20  0.04     75    6.64   -0.38   -2.57   -6.10   -1.41   -6.47    0.04    0.28   379.3  -378.7   -19.2     7.9   7.54   40170.  2.17   2.45   1.20   7.8   -3.80  -37.97   -5.74   12.10   -0.42   -0.29   449  -296   152     4   -26    14    17   3.47  5.5
1981  36  7 15 50 50   5   1   0   -192      7  0.01     69    5.31   -0.14    2.78   -0.47    2.82    0.04    0.64    4.33   383.3  -383.0   -10.7    11.4   7.38   62903.  2.17  -0.02   2.08   9.8   -3.78  -37.97   -5.76   12.77   -0.57   -0.35   461  -281   179     5   -26    15    17   3.49  5.9
1981  36  7 16 50 50   5   2   0   -207      2  0.00     75    5.90   -0.15    5.00    2.54    4.46    3.41    0.13    1.73   383.3  -383.0   -10.7    11.4   7.38   62890.  2.17  -1.31   1.69   8.8   -3.78  -37.97   -5.76   13.13   -0.65   -0.07   449  -281   167     5   -25    16    17   3.43  5.6
1981  36  7 17 50 50   4   1   0   -201      3  0.00     53    6.24    0.33    5.77   -1.85    6.01   -0.78    0.09    0.76   376.0  -375.6   -11.1   -12.5   7.21   47471.  2.04   0.29   1.35   8.1   -3.77  -37.97   -5.77   12.86   -0.78    0.43   422  -286   135     5   -26    17    18   3.36  5.5
1981  36  7 18 50 50   5   1   0   -197      0  0.01     56    6.03   -0.15    5.12    2.03    4.67    2.92    0.04    2.22   388.5  -388.2     3.4   -13.6   6.96   33122.  2.10  -1.13   1.29   8.5   -3.76  -37.97   -5.77   13.12   -0.90    0.07   435  -284   150     5   -26    19    18   3.33  5.9
1981  36  7 19 50 50   5   1   0   -197      1  0.09     60    6.18    1.22    3.70    4.57    2.82    5.16    0.10    1.04   387.4  -386.3   -16.9    23.7   6.87   49292.  2.06  -2.00   1.33   8.2   -3.75  -37.98   -5.78   13.22   -0.46   -0.79   480  -302   177     5   -26    21    18   3.44  5.6
1981  36  7 20 50 99   5 999   0   -190      1  0.00     53    6.27    1.25    4.94    3.59    4.22    4.41    0.04    0.50 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.20   -0.50   -0.76   496  -308   187     6   -26    21    18   3.42 99.9
1981  36  7 21 50 99   5 999   0   -191      1  0.01     60    6.37    1.45    5.26    3.18    4.61    4.06    0.02    0.45 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.19   -0.55   -0.71   513  -313   199     6   -26    22    18   3.39 99.9
1981  36  7 22 50 99   5 999   0   -197      3  0.01     65    6.31    1.45    5.61    1.66    5.23    2.63    0.08    1.36 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.14   -0.60   -0.66   520  -313   206     6   -27    24    19   3.55 99.9
1981  36  7 23 50 99   6 999   0   -208      3  0.01     71    5.89    0.43    5.70   -0.20    5.65    0.81    0.06    0.50 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.04   -0.65   -0.60   530  -316   213     6   -27    26    19   3.55 99.9
1981  36  7 24 50 99   5 999   0   -219      3  0.02     71    6.17    0.05    5.95    1.45    5.60    2.47    0.15    0.59 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.11   -0.72   -0.55   544  -321   222     6   -27    26    19   3.49 99.9
1981  36  7 25 50 99   5 999  20   -222      0  0.01     62    6.29    0.12    6.11    1.41    5.77    2.46    0.18    0.29 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.11   -0.77   -0.50   550  -312   237     7   -27    26    20   3.34 99.9
1981  36  7 26 50 99   5 999  20   -218     10  0.05     56    6.31    0.78    6.12    1.21    5.82    2.26    0.13    0.40 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.09   -0.82   -0.46   538  -291   246     7   -27    26    20   3.16 99.9
1981  36  7 27 50 50   6   1  67   -219      6  0.03     60    5.82    1.31    5.60    0.54    5.42    1.50    0.17    0.43   380.4  -380.2    -4.0    11.3   7.46   47111.  2.16  -0.57   1.61   8.9   -3.66  -37.99   -5.84   13.04   -0.86   -0.41   505  -261   243     7   -27    26    20   3.10  5.8
1981  36  7 28 50 50   4   1   0   -214      3  0.01     54    5.48    0.96    5.30   -0.29    5.27    0.63    0.06    0.75   380.4  -380.2    -4.0    11.3   7.46   47111.  2.16  -0.24   1.81   9.5   -3.66  -37.99   -5.84   12.95   -0.80   -0.39   479  -244   235     7   -27    26    20   3.12  5.9
1981  36  7 29 50 50   6   1   0   -212      4  0.03     58    5.11    1.52    4.65    0.68    4.46    1.47    0.09    1.05   378.8  -378.2   -17.2    11.2   7.46   53027.  2.14  -0.56   2.16  10.1   -3.64  -37.99   -5.86   13.00   -0.57   -0.39   467  -232   234     7   -28    26    20   3.09  6.0
1981  36  7 30 50 50   5   1   0   -219      1  0.02     67    4.71    0.44    4.56    0.24    4.45    1.02    0.09    0.90   378.8  -378.2   -17.2    11.2   7.46   53027.  2.14  -0.39   2.54  11.0   -3.64  -37.99   -5.86   13.01   -0.45   -0.37   455  -221   233     7   -28    25    20   3.04  6.1
1981  36  7 31 50 99   5 999   0   -226      2  0.00     66    4.59   -0.30    4.25   -0.96    4.35   -0.22    0.16    0.88 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.89   -0.49   -0.34   446  -210   235     7   -28    25    20   3.04 99.9
1981  36  7 32 50 99   6 999   0   -238      1  0.00     72    5.02   -0.70    4.88    0.16    4.78    0.99    0.07    0.37 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.08   -0.54   -0.33   439  -198   240     7   -27    23    20   3.00 99.9
1981  36  7 33 50 99   4 999   0   -239      0  0.00     60    4.86   -0.07    4.56    1.42    4.25    2.17    0.30    0.72 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.11   -0.58   -0.31   439  -195   243     7   -27    23    20   3.00 99.9
1981  36  7 34 50 99   8 999   0   -281     34  0.06    102    5.21   -0.13    4.87    1.30    4.58    2.10    0.41    1.12 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.15   -0.63   -0.28   435  -181   253     7   -28    23    21   3.03 99.9
1981  36  7 35 50 99   2 999   0   -231      1  0.01      9    5.27    0.26    5.09   -0.29    5.07    0.57    0.02    0.59 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.07   -0.64   -0.27   438  -178   259     7   -28    23    21   3.04 99.9
1981  36  7 36 50 99   4 999   0   -257     37  0.07     86    5.16    0.22    4.60   -1.55    4.79   -0.76    0.09    1.08 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.90   -0.68   -0.25   450  -185   265     7   -28    23    20   3.02 99.9
1981  36  7 37 50 50   4   1   0   -238      1  0.01     41    5.40    0.14    3.54   -3.35    4.05   -2.71    0.18    2.26   381.2  -381.0    -9.3     6.7   6.96   40170.  2.02   1.03   1.67   9.3   -3.57  -38.00   -5.90   12.65   -0.68   -0.29   468  -193   275     7   -29    24    22   3.06  6.0
1981  36  7 38 50 50   7   2   0   -248      6  0.01     70    5.40   -0.18   -0.25   -5.26    0.63   -5.23    0.07    0.97   380.7  -380.4    -9.8    12.0   6.78   49301.  1.97   1.99   1.72   9.2   -3.57  -38.00   -5.90   12.39   -0.55   -0.14   482  -201   281     7   -29    24    22   3.08  5.8
