<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni_min data from 1981010100 to 1981123123</B><hr><pre>Selected parameters:
 1 ID for IMF spacecraft
 2 ID for SW Plasma spacecraft
 3 # of points in IMF averages 
 4 # of points in Plasma averages
 5 Percent of Interpolation
 6 Timeshift
 7 RMS, Timeshift
 8 RMS Min_var
 9 Time btwn observations,sec
10 Field magnitude average, nT
11 BX, nT (GSE, GSM)
12 BY, nT (GSE)
13 BZ, nT (GSE)
14 BY, nT (GSM)
15 BZ, nT (GSM)
16 RMS SD B scalar, nT
17 RMS SD field vector, nT
18 Speed, km/s
19 Vx Velocity,km/s
20 Vy Velocity, km/s
21 Vz Velocity, km/s
22 Proton Density, n/cc
23 Proton Temperature, K
24 Flow pressure, nPa
25 Electric field, mV/m 
26 Plasma beta
27 Alfven mach number
28 S/C, Xgse,Re
29 S/C, Ygse,Re
30 S/c, Zgse,Re
31 BSN location, Xgse,Re
32 BSN location, Ygse,Re
33 BSN location, Zgse,Re
34 AE-index, nT
35 AL-index, nT
36 AU-index, nT
37 SYM/D, nT
38 SYM/H, nT
39 ASY/D, nT
40 ASY/H, nT
41 PCN-index
42 Magnetosonic Mach number

YYYY DOY HR MN  1  2  3   4   5      6      7     8      9      10      11      12      13      14      15      16      17      18      19      20      21     22       23    24     25     26    27      28      29      30      31      32      33    34    35    36    37    38    39    40     41   42 
1981  36  2 45 50 99   4 999   0    409      3  0.01     71    5.65    3.85    2.79    2.95    1.34    3.83    0.02    0.27 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   14.26   -0.50   -0.15   104   -55    48     2    -9     6    15   0.82 99.9
1981  36  2 46 50 99   4 999   0    423     21  0.02     45    5.58    4.01    3.10    2.30    1.89    3.36    0.04    0.31 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   14.24   -0.50   -0.13   120   -69    50     2    -9     5    15   0.77 99.9
1981  36  2 47 50 99   5 999   0    426     24  0.02     57    5.64    3.92    3.01    2.69    1.66    3.68    0.04    0.20 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   14.27   -0.50   -0.11   120   -69    50     2    -8     6    15   0.77 99.9
1981  36  2 48 50 99   3 999   0    423      2  0.01     62    5.55    3.66    2.89    3.00    1.42    3.91    0.04    0.18 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   14.28   -0.50   -0.09   113   -63    49     2    -8     6    15   0.74 99.9
1981  36  2 49 50 99   4 999   0    437      8  0.03     45    5.62    3.64    3.00    3.02    1.52    3.98    0.04    0.31 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   14.30   -0.51   -0.07   104   -60    43     2    -8     5    15   0.70 99.9
1981  36  2 50 50 99   4 999   0    428      9  0.01     68    5.65    3.52    2.72    3.42    1.10    4.23    0.01    0.41 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   14.31   -0.51   -0.04    95   -55    39     2    -8     6    16   0.66 99.9
1981  36  2 51 50 99   4 999   0    442      1  0.00     46    5.64    3.63    2.34    3.61    0.68    4.25    0.01    0.20 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   14.32   -0.51   -0.02    92   -58    33     2    -8     6    16   0.66 99.9
1981  36  2 52 50 99   6 999   0    436      4  0.01     65    5.56    3.83    3.03    2.16    1.90    3.20    0.07    1.31 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   14.28   -0.51    0.00    87   -53    33     2    -8     6    15   0.66 99.9
1981  36  2 53 50 99   4 999   0    439      3  0.01     57    5.44    3.90    3.10   -2.06    3.67   -0.64    0.04    0.55 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.88   -0.49    0.03    89   -49    39     2    -8     6    15   0.65 99.9
1981  36  2 54 50 99   5 999   0    442      6  0.01     57    5.48    3.84    3.07   -2.39    3.77   -0.96    0.01    0.21 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.83   -0.49    0.04    82   -34    47     2    -8     6    15   0.61 99.9
