<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni_min data from 1981010100 to 1981123123</B><hr><pre>Selected parameters:
 1 Day
 2 Hour
 3 Minute
 4 ID for IMF spacecraft
 5 ID for SW Plasma spacecraft
 6 # of points in IMF averages 
 7 # of points in Plasma averages
 8 Percent of Interpolation
 9 Timeshift
10 RMS, Timeshift
11 RMS Min_var
12 Time btwn observations,sec
13 Field magnitude average, nT
14 BX, nT (GSE, GSM)
15 BY, nT (GSE)
16 BZ, nT (GSE)
17 BY, nT (GSM)
18 BZ, nT (GSM)
19 RMS SD B scalar, nT
20 RMS SD field vector, nT
21 Speed, km/s
22 Vx Velocity,km/s
23 Vy Velocity, km/s
24 Vz Velocity, km/s
25 Proton Density, n/cc
26 Proton Temperature, K
27 Flow pressure, nPa
28 Electric field, mV/m 
29 Plasma beta
30 Alfven mach number
31 S/C, Xgse,Re
32 S/C, Ygse,Re
33 S/c, Zgse,Re
34 BSN location, Xgse,Re
35 BSN location, Ygse,Re
36 BSN location, Zgse,Re
37 AE-index, nT

YYYY DOY HR MN  1   2  3  4  5  6   7   8      9     10    11     12      13      14      15      16      17      18      19      20      21      22      23      24     25       26    27     28     29    30      31      32      33      34      35      36    37 
1981  37  8 35  37  8 35 50 50   9   2  22    186    432  0.55     30    7.70    4.37   -4.23    4.30   -4.78    3.67    0.12    1.84   435.8  -435.5   -13.8    -6.5   3.21  164221.  1.22  -1.60   0.66   5.1    9.80  -36.25  -13.97   15.17   -1.17   -0.19    65
1981  37  8 36  37  8 36 50 50  10   1  20    241    336  0.45      4    7.67    4.67   -4.03    4.28   -4.58    3.68    0.21    1.27   444.8  -444.6   -11.6     6.2   3.20  132414.  1.27  -1.64   0.59   5.2    9.77  -36.26  -13.95   14.90   -1.37   -0.27    50
1981  37  8 37  37  8 37 50 50   7   1  29    203    347  0.47     97    7.99    3.95   -4.95    4.57   -5.53    3.85    0.84    1.21   438.0  -437.9    -1.5     9.2   2.87   99089.  1.10  -1.69   0.43   4.6    9.68  -36.30  -13.90   14.81   -1.07   -0.22    47
1981  37  8 38  37  8 38 50 50   9   2  33    212    333  0.45     51    8.22    3.88   -5.12    4.93   -5.75    4.18    1.41    1.80   427.4  -426.8    21.0    -4.0   3.23  176305.  1.18  -1.79   0.61   4.7    9.71  -36.28  -13.92   14.70   -1.01   -0.12    40
1981  37  8 39  37  8 39 50 50  10   2  20    315    310  0.43    -43    8.21    4.89   -3.35    4.93   -3.99    4.43    1.42    2.81   425.0  -424.7    13.0     6.6   3.23  191056.  1.17  -1.88   0.64   4.7    9.69  -36.29  -13.91   14.62   -1.25   -0.24    37
1981  37  8 40  37  8 40 50 50   9   1  33    188    303  0.46    186    8.61    4.44   -4.06    5.16   -4.72    4.56    1.74    3.67   406.7  -403.3    48.8    19.2   3.77  151077.  1.25  -1.85   0.59   4.6    9.70  -36.29  -13.91   14.54   -1.40   -0.36    37
1981  37  8 41  37  8 41 50 50   6   1  50    -49    265  0.40    297   10.29    3.71   -6.30    7.04   -7.20    6.12    1.83    2.23   503.1  -501.9    11.4    33.3   4.90  200723.  2.48  -3.08   0.63   5.4    9.82  -36.24  -13.98   13.73   -1.06   -0.59    37
1981  37  8 42  37  8 42 50 50   7   2  14    337    258  0.37   -325    8.36    3.96   -5.62    4.56   -6.18    3.76    1.53    1.84   432.5  -432.0   -11.2   -10.6   2.75   90009.  1.03  -1.63   0.36   4.3    9.74  -36.27  -13.93   14.91   -1.02   -0.13    39
1981  37  8 43  37  8 43 50 50   6   1  33    300    245  0.35     96    8.65    3.97   -5.93    4.73   -6.51    3.89    1.60    1.84   425.3  -425.2    -6.7     6.7   2.60   67069.  0.94  -1.65   0.28   4.0    9.72  -36.28  -13.92   14.73   -0.76   -0.13    39
1981  37  8 44  37  8 44 50 50   3   1  67    425     58  0.09    -64    7.85    3.71   -5.52    4.12   -6.02    3.34    0.01    0.28   440.9  -440.8   -10.0     2.3   3.14  144089.  1.22  -1.47   0.58   5.0    9.74  -36.27  -13.93   14.83   -0.65   -0.09    48
1981  37  8 45  37  8 45 50 50   5   1  20    366    225  0.29    119    8.81    3.57   -6.30    4.88   -6.90    3.99    1.73    1.96   440.9  -440.8   -10.0     2.3   3.14  144089.  1.22  -1.76   0.46   4.4    9.74  -36.27  -13.93   14.32   -0.75   -0.22    59
1981  37  8 46  37  8 46 50 50   8   2  13    127    265  0.29    299   11.16    3.64   -7.35    7.31   -8.26    6.26    1.71    2.31   507.2  -506.8     9.5    16.9   5.30  194251.  2.73  -3.18   0.57   5.2    9.82  -36.24  -13.98   13.56   -0.86   -0.28   117
1981  37  8 47  37  8 47 50 50  11   2   9     37    246  0.31    150   11.35    4.27   -6.59    7.82   -7.57    6.87    1.59    2.57   488.7  -486.9    27.5    29.0   5.38  230556.  2.57  -3.36   0.62   5.0    9.85  -36.23  -13.99   13.49   -0.91   -0.56   158
1981  37  8 49  37  8 49 50 50   3   1   0    -42     83  0.16    766   12.53    4.31   -6.98    9.26   -8.14    8.26    0.07    1.67   502.3  -500.5    21.9    36.8   4.66  160056.  2.35  -4.15   0.36   4.3    9.86  -36.22  -14.01   13.29   -1.10   -0.80   194
1981  37  8 51  37  8 51 50 50  11   1   0   -163     62  0.11     85   11.82    5.13   -4.28    9.65   -5.51    9.00    0.10    0.96   493.5  -492.9    -6.9    23.2   5.47  290477.  2.66  -4.44   0.68   4.9    9.87  -36.22  -14.01   12.90   -1.29   -0.80    74
1981  37  8 52  37  8 52 50 50  14   2   0    -14    143  0.28    -89   12.22    5.03   -5.71    9.34   -6.88    8.51    0.42    1.64   500.9  -499.8     0.6    32.8   4.06  230626.  2.04  -4.26   0.41   4.1    9.86  -36.22  -14.00   13.22   -1.34   -0.90    80
1981  37  8 55  37  8 55 50 50   6   1   0   -219      7  0.01     50   11.84    0.79    2.21   11.34    0.72   11.53    0.31    1.79   536.3  -525.0    96.4    52.3   5.15  197120.  2.96  -6.18   0.50   5.1    9.93  -36.19  -14.05   12.38   -2.90   -1.20   125
1981  37  8 56  37  8 56 50 50   4   1   0   -214     12  0.02     54   11.92    3.58   -0.38   11.24   -1.83   11.10    0.11    0.48   536.3  -525.0    96.4    52.3   5.15  197120.  2.96  -5.95   0.49   5.1    9.93  -36.19  -14.05   12.24   -2.89   -1.15   102
1981  37  8 57  37  8 57 50 50   3   1   0   -182      5  0.01     28   11.88    3.20   -2.63   10.91   -4.01   10.48    0.16    1.88   522.7  -513.4    87.8    43.7   6.50  349883.  3.55  -5.48   0.92   5.6    9.94  -36.19  -14.05   12.12   -2.30   -0.78    78
1981  37  8 58  37  8 58 50 50   5   1   0   -198     37  0.06     75   11.96    4.66   -6.77    8.31   -7.78    7.37    0.14    1.94   524.2  -524.2     3.7    -1.8   6.97  329843.  3.83  -3.86   0.93   5.8    9.95  -36.19  -14.05   12.19   -0.93    0.01    58
1981  37  8 59  37  8 59 50 50   3   1   0   -146      2  0.01      8   11.72    6.10   -5.82    7.92   -6.79    7.11    0.17    1.20   524.2  -524.2     3.7    -1.8   6.97  329843.  3.83  -3.73   0.97   5.9    9.95  -36.19  -14.05   12.15   -0.74    0.11    72
1981  37  9  5  37  9  5 50 50   5   1   0    -70      2  0.01     51   13.49    6.96  -10.93    3.59  -11.29    2.19    0.15    0.48   491.3  -489.6   -20.5   -36.0   6.50  366664.  3.14  -1.08   0.74   4.6   10.00  -36.17  -14.08   12.69   -0.27    0.99    41
1981  37  9  7  37  9  7 50 50   1   1 100      5      0  0.00     11   12.83    7.08  -10.59    1.01  -10.63   -0.32    0.00    0.00   480.2  -475.4   -14.1   -66.0   5.39  255726.  2.49   0.15   0.52   4.3   10.01  -36.16  -14.08   13.04   -0.43    1.81    70
1981  37  9  8  37  9  8 50 50   1   1 100     53      0  0.00     11   12.67    6.89  -10.01    1.94  -10.17    0.68    0.00    0.00   480.2  -475.4   -14.1   -66.0   5.39  255726.  2.49  -0.33   0.54   4.4   10.01  -36.16  -14.08   12.87   -0.33    1.62    78
1981  37  9  9  37  9  9 50 50   2   1  50    104      3  0.01      9   13.32    5.37  -11.57    3.51  -11.92    2.05    0.11    1.18   501.5  -498.8   -27.9   -43.7   6.42  422058.  3.23  -1.03   0.83   4.8   10.02  -36.16  -14.09   12.85   -0.22    1.42    87
1981  37  9 10  37  9 10 50 50   9   1  89     69     15  0.06     94   13.11    4.05  -12.33    0.20  -12.26   -1.33    0.12    1.28   501.5  -498.8   -27.9   -43.7   6.42  422058.  3.23   0.67   0.86   4.8   10.02  -36.16  -14.09   12.51   -0.07    1.08    93
1981  37  9 11  37  9 11 50 50   7   2 100     31      4  0.04     98   12.99    1.84  -12.74    0.20  -12.67   -1.38    0.13    1.44   528.4  -525.7   -25.9   -44.9   6.02  395299.  3.36   0.73   0.78   5.0   10.04  -36.15  -14.10   12.36   -0.09    1.19    70
1981  37  9 12  37  9 12 50 50   7   1 100      8      8  0.04     82   11.90    1.23  -11.39   -2.28  -11.02   -3.67    0.66    1.48   520.0  -514.9   -21.6   -69.7   4.74  306830.  2.56   1.91   0.61   4.8   10.05  -36.15  -14.10   12.25   -0.22    1.49    67
1981  37  9 13  37  9 13 50 50   6   2 100    -14      4  0.03     82   12.95   -0.10  -12.53    1.88  -12.67    0.33    0.53    2.32   529.8  -528.6   -10.4   -34.2   6.96  283842.  3.91  -0.17   0.71   5.4   10.06  -36.15  -14.11   12.06   -0.32    0.80    57
1981  37  9 14  37  9 14 50 50   6   2 100    -29      6  0.04     75   12.42   -0.40  -11.81   -1.29  -11.56   -2.73    0.72    3.19   534.9  -534.1   -10.0   -27.1   6.73  339079.  3.85   1.46   0.85   5.6   10.07  -36.14  -14.11   11.76   -0.37    0.62    73
1981  37  9 16  37  9 16 50 50   6   1  50    -62      4  0.04     73   13.34   -1.20   -9.77    8.93  -10.79    7.67    0.09    0.93   550.5  -549.4    -9.6    32.6   6.18  296456.  3.75  -4.22   0.61   5.1   10.09  -36.13  -14.13   12.29   -0.46   -0.68   119
1981  37  9 17  37  9 17 50 50   5   1  60    -65      4  0.02     62   13.51   -0.96   -8.43   10.45   -9.64    9.35    0.01    0.67   552.2  -551.2    -7.7    31.8   6.02  290477.  3.67  -5.16   0.57   5.0   10.10  -36.13  -14.13   12.33   -0.54   -0.73   129
1981  37  9 19  37  9 19 50 50   3   1 100    -26      5  0.02     41   13.56   -0.30   -5.36   12.44   -6.82   11.70    0.04    0.33   556.7  -554.5    20.3    44.6   6.73  288778.  4.17  -6.51   0.64   5.3   10.12  -36.12  -14.14   12.07   -1.02   -0.91   126
1981  37  9 22  37  9 22 50 50   1   1 100     68      0  0.00    -10   13.55   -0.53   -6.01   12.11   -7.42   11.30    0.00    0.00   558.0  -557.6    10.7    18.5   6.65  277843.  4.14  -6.31   0.61   5.3   10.13  -36.11  -14.15   12.08   -0.83   -0.36   182
1981  37  9 26  37  9 26 50 50   7   2  43    185     31  0.06    116   13.00   -5.94  -10.86    3.27  -11.17    1.96    0.25    2.20   585.8  -583.8    -1.0   -45.6   6.34  279950.  4.35  -1.15   0.64   5.7   10.14  -36.10  -14.15   11.72   -0.61    1.01    99
1981  37  9 27  37  9 27 50 50   9   2  33    225     77  0.14     19   12.50   -0.48   -5.89    7.60   -6.75    6.85    0.53    7.07   567.0  -566.7     1.2     6.0   6.58  330720.  4.23  -3.88   0.80   5.8   10.13  -36.11  -14.15   11.86   -1.00    0.48    83
1981  37  9 28  37  9 28 50 50   7   2   0    146      7  0.02    138   13.02    4.43   -2.33   11.97   -3.73   11.61    0.12    0.99   511.0  -505.6    70.2    21.0   6.65  343191.  3.47  -5.93   0.77   5.1   10.17  -36.09  -14.17   12.22   -2.30   -0.34    67
1981  37  9 29  37  9 29 50 50   8   1   0    118      9  0.02     88   13.39    3.87   -5.77   11.41   -7.07   10.65    0.16    0.85   508.8  -504.0    67.3    17.8   7.36  357299.  3.81  -5.42   0.83   5.2   10.17  -36.09  -14.17   12.10   -2.16   -0.35    72
1981  37  9 31  37  9 31 50 50   6   1   0     69      3  0.01     77   13.81    4.61  -10.27    7.77  -11.11    6.51    0.04    1.42   507.7  -507.2    23.0    -3.5   8.05  337070.  4.15  -3.31   0.82   5.2   10.20  -36.08  -14.18   11.96   -1.25    0.21    65
1981  37  9 34  37  9 34 50 50   6   2   0     20     10  0.02     59   11.10   -3.10   -9.90   -3.04   -9.48   -4.17    1.41    2.47   559.2  -552.7    19.8   -82.8   8.62  404413.  5.39   2.33   1.55   7.4   10.23  -36.07  -14.20   10.80   -0.95    1.56   121
1981  37  9 35  37  9 35 50 50   4   2   0      0      1  0.00     79   12.48   -0.50  -12.28   -2.07  -11.96   -3.48    0.17    0.70   554.5  -547.9     3.7   -85.6   7.00  310631.  4.30   1.93   0.82   5.9   10.24  -36.06  -14.21   11.25   -0.76    1.64    90
1981  37  9 36  37  9 36 50 50   6   1   0     -6      4  0.01     65   12.54   -0.41  -12.28   -2.06  -11.96   -3.47    0.09    1.26   549.1  -544.3    12.4   -71.7   8.28  382827.  4.99   1.91   1.12   6.3   10.25  -36.06  -14.21   11.19   -0.74    1.42    70
1981  37  9 37  37  9 37 50 50   5   2   0    -13      1  0.00     67   12.54    1.44  -12.33   -1.22  -12.11   -2.64    0.11    0.93   534.1  -530.4    -7.4   -62.4   7.90  373322.  4.51   1.41   1.05   6.0   10.27  -36.05  -14.22   11.49   -0.49    1.48    61
1981  37  9 38  37  9 38 50 50   6   2  67    -16      5  0.03     62   12.66    1.95  -12.13   -2.92  -11.71   -4.30    0.10    0.43   527.8  -521.4   -13.7   -79.6   7.00  362209.  3.90   2.27   0.89   5.5   10.27  -36.05  -14.22   11.54   -0.36    1.71   102
1981  37  9 39  37  9 39 50 50   5   2 100    -26      1  0.02     70   12.50    2.18  -11.56   -3.99  -11.02   -5.30    0.07    1.05   533.8  -527.9     2.3   -79.4   7.25  352943.  4.13   2.83   0.93   5.7   10.28  -36.05  -14.23   11.30   -0.61    1.62   126
1981  37  9 40  37  9 40 50 50   5   2  80    -29      5  0.02     62   11.80    2.14   -8.81   -5.29   -8.14   -6.27    0.72    4.24   562.6  -550.2    50.0  -106.3   7.12  341653.  4.51   3.53   1.00   6.4   10.29  -36.04  -14.23   10.71   -1.33    1.96    98
1981  37  9 41  37  9 41 50 50   4   1  75    -33      0  0.07     63   12.34    1.79  -10.85   -4.85  -10.22   -6.06    0.32    1.76   562.7  -550.3    50.1  -106.4   7.12  341622.  4.51   3.41   0.91   6.1   10.29  -36.04  -14.23   10.77   -1.37    2.03    85
1981  37  9 42  37  9 42 50 50   8   1  75    -62     21  0.13     89   11.01    0.64   -9.05   -5.97   -8.31   -6.97    0.45    1.36   543.0  -534.3    15.9   -95.2   7.43  429095.  4.38   3.78   1.42   6.7   10.32  -36.03  -14.24   10.67   -1.00    1.91   125
1981  37  9 44  37  9 44 50 50   4   1   0     -8      0  0.02 999999   10.54   -0.03   -9.32   -4.66   -8.73   -5.69    0.20    0.53   538.5  -531.8     4.6   -84.2   8.13  472385.  4.72   3.06   1.83   7.3   10.33  -36.03  -14.25   10.82   -0.76    1.78   164
1981  37  9 46  37  9 46 50 50   5   1   0     -8      1  0.00     60   10.21    0.55   -7.70   -6.43   -6.92   -7.26    0.09    1.23   555.6  -544.5    14.3  -109.8   7.20  392477.  4.45   4.03   1.50   7.3   10.34  -36.02  -14.26   10.53   -0.82    2.03   225
1981  37  9 47  37  9 47 50 50   5   1   0     -8      5  0.25     60   10.30    0.24   -9.22   -2.66   -8.86   -3.69    0.98    3.44   555.6  -544.5    14.3  -109.8   7.20  392477.  4.45   2.05   1.47   7.2   10.34  -36.02  -14.26   10.93   -0.96    2.16   202
1981  37  9 48  37  9 48 50 50   4   1   0     -5      5  0.08     56    9.04   -2.51   -7.41   -1.77   -7.16   -2.60    1.62    4.20   574.3  -563.4    25.6  -108.6   7.59  469232.  5.01   1.49   2.31   8.8   10.35  -36.02  -14.26   10.86   -1.06    2.10   196
1981  37  9 49  37  9 49 50 50   5   1   0      7      0  0.00     48    8.65   -2.63   -2.72   -7.57   -1.85   -7.83    0.98    1.66   567.7  -557.3    35.1  -102.5   9.50  482959.  6.12   4.45   3.23  10.1   10.36  -36.02  -14.27    9.88   -1.09    1.82   216
1981  37  9 50  37  9 50 50 50   5   1   0      0      6  0.00     66   10.05   -3.18   -6.68   -3.14   -6.28   -3.87    0.66    5.51   562.5  -558.4     6.8   -67.6   7.20  376134.  4.56   2.18   1.50   7.5   10.37  -36.01  -14.27   10.86   -0.82    1.39   324
1981  37  9 51  37  9 51 50 50   4   1   0      8     18  0.04     51   10.76   -0.92   -9.98    3.70  -10.33    2.55    0.14    0.98   547.1  -545.1    11.4   -45.8   8.05  419056.  4.82  -1.40   1.58   7.2   10.38  -36.01  -14.27   11.57   -0.84    0.99   350
1981  37  9 52  37  9 52 50 50   5   1   0     -6      1  0.00     74   11.11   -1.03   -9.55    5.37  -10.09    4.26    0.06    1.12   542.9  -542.0     3.8   -30.3   7.59  433138.  4.47  -2.31   1.44   6.7   10.39  -36.00  -14.28   11.76   -0.79    0.64   299
1981  37  9 54  37  9 54 50 50   5   1   0      0      0  0.00     59   11.01   -2.29   -3.90    9.93   -4.99    9.43    0.09    1.03   561.2  -560.5    28.4     0.0   6.65  373282.  4.19  -5.29   1.14   6.6   10.41  -36.00  -14.29   11.92   -1.17    0.05   276
1981  37  9 55  37  9 55 50 50   5   1   0      0      0  0.00     60   11.17   -0.82   -8.08    7.57   -8.88    6.62    0.06    0.85   554.5  -554.4     6.8    -5.8   6.73  311200.  4.14  -3.67   0.99   6.4   10.41  -35.99  -14.30   11.92   -0.86    0.03   276
1981  37  9 56  37  9 56 50 50   4   1   0      1      0  0.00     59   10.53   -1.04   -6.52    7.88   -7.36    7.10    0.56    1.65   560.8  -559.6     8.8    35.2   7.12  386675.  4.48  -3.98   1.38   7.1   10.42  -35.99  -14.30   11.75   -0.86   -0.54   265
1981  37  9 57  37  9 57 50 50   4   1   0      3      2  0.00     58    9.68   -0.03   -4.69    7.07   -5.45    6.50    1.31    3.70   558.4  -556.9    40.9     0.0   8.13  362904.  5.07  -3.63   1.77   8.2   10.43  -35.98  -14.31   11.47   -1.30   -0.08   226
1981  37  9 58  37  9 58 50 50   4   1   0     17      2  0.00     45    8.15    0.69   -4.54   -6.06   -3.84   -6.53    0.92    2.08   553.9  -538.6    14.1  -128.4   7.28  387638.  4.47   3.62   2.35   9.2   10.44  -35.98  -14.31   10.49   -1.04    1.55   191
1981  37  9 59  37  9 59 50 50   6   2   0      8     16  0.04     68    9.54    2.32   -5.68   -7.11   -4.86   -7.70    0.21    1.14   543.3  -529.9    15.2  -118.8   8.26  462603.  4.88   4.18   2.23   8.2   10.45  -35.97  -14.32   10.23   -0.87    2.29   178
1981  37 10  0  37 10  0 50 50   5   2   0      4      2  0.01     64    8.37    1.61   -3.15   -6.97   -2.36   -7.28    0.64    1.98   550.0  -538.6    19.0  -109.4   8.47  433324.  5.12   4.00   2.83   9.6   10.47  -35.97  -14.32   10.15   -0.94    2.08   182
1981  37 10  1  37 10  1 50 50   5   1   0      3      2  0.00     60    8.85    2.31   -1.75   -8.00   -0.85   -8.14    0.97    2.39   541.1  -527.1    49.8  -111.6   8.66  348040.  5.07   4.40   2.19   9.0   10.48  -35.96  -14.33    9.95   -1.33    2.07   170
1981  37 10  2  37 10  2 50 50   4   2   0      8      1  0.01     54   10.21    2.55    0.11   -9.67    1.18   -9.60    0.43    1.63   546.1  -534.2    55.2   -98.6   8.41  396895.  5.02   5.24   1.76   7.8   10.49  -35.96  -14.33    9.78   -1.54    1.87   185
1981  37 10  3  37 10  3 50 50   6   1   0      4      2  0.00     64    8.48   -0.41   -3.92   -7.35   -3.08   -7.74    0.86    1.15   547.1  -535.7    56.3   -95.9   8.36  407149.  5.00   4.23   2.59   9.3   10.49  -35.96  -14.33   10.34   -1.32    1.92   186
1981  37 10  4  37 10  4 50 50   3   1   0      4     13  0.11     60    4.45    0.34   -1.84   -3.52   -1.44   -3.70    2.03    2.50   595.8  -584.2     8.2  -116.7   4.01  205083.  2.85   2.20   2.81  13.4   10.50  -35.95  -14.34   11.36   -0.90    2.23   194
1981  37 10 11  37 10 11 50 50   4   1   0    -62     86  0.43    107   10.72   -1.09  -10.59    0.25  -10.55   -0.91    0.87    1.41   559.6  -555.7   -26.2   -60.4   6.89  527386.  4.32   0.51   1.64   6.9   10.58  -35.92  -14.38   11.74   -0.12    1.42   300
1981  37 10 13  37 10 13 50 50   5   1   0     -9      2  0.01     83   11.24   -1.81  -10.37    2.19  -10.55    1.05    0.61    2.96   553.9  -549.1   -29.7   -66.5   6.97  431114.  4.28  -0.58   1.28   6.5   10.57  -35.93  -14.38   11.72   -0.03    1.37   251
1981  37 10 15  37 10 15 50 50   5   1   0    -17      3  0.01     61   10.24   -1.84   -9.55    3.00   -9.82    1.94    0.34    0.64   569.3  -568.2   -29.8   -17.9   7.97  391507.  5.17  -1.10   1.64   7.8   10.59  -35.92  -14.39   11.45   -0.12    0.68   313
1981  37 10 17  37 10 17 50 50   1   1   0     -3      0  0.00     44   11.43    4.19   -4.80   -9.38   -3.75   -9.85    0.00    0.00   559.4  -548.1     6.7  -111.5   7.97  766907.  4.99   5.51   2.27   6.9   10.61  -35.90  -14.40   10.13   -0.67    2.04   311
1981  37 10 18  37 10 18 50 50   6   3   0     -9      4  0.01     66   11.39    2.94   -7.11   -7.95   -6.21   -8.67    0.09    2.41   538.8  -529.3     4.6  -100.6   6.69  380517.  3.88   4.67   1.09   6.1   10.61  -35.90  -14.40   10.68   -0.55    1.90   322
1981  37 10 19  37 10 19 50 50   6   1   0    -38     11  0.03     89   11.52    0.67  -10.84   -1.20  -10.65   -2.37    0.27    3.16   554.9  -549.9   -30.7   -67.6   5.79  373282.  3.57   1.32   0.91   5.8   10.62  -35.90  -14.40   11.81    0.09    1.29   346
1981  37 10 20  37 10 20 50 50   6   1   0    -54      5  0.01     75   11.29    0.74  -10.72    0.95  -10.76   -0.22    0.15    2.46   547.7  -544.7   -48.6   -29.6   7.04  422058.  4.22   0.12   1.26   6.4   10.64  -35.89  -14.41   11.79    0.34    0.76   324
1981  37 10 21  37 10 21 50 50   8   1   0    -74     19  0.07     79   12.28   -0.06  -11.92    2.71  -12.14    1.40    0.53    0.86   552.7  -550.0   -29.8   -45.3   6.02  415071.  3.68  -0.77   0.90   5.5   10.65  -35.88  -14.43   12.11    0.15    0.88   292
1981  37 10 22  37 10 22 50 50   5   2   0   -100     18  0.06     86   13.22   -1.10  -12.71    3.39  -13.00    2.00    0.23    0.55   553.4  -550.4   -27.5   -50.0   5.93  384391.  3.63  -1.11   0.72   5.1   10.66  -35.88  -14.43   12.29   -0.04    1.11   309
1981  37 10 23  37 10 23 50 50   5   1   0    -94      1  0.00     53   13.25   -1.56  -12.87    2.69  -13.09    1.28    0.30    0.41   554.4  -550.9   -24.1   -57.0   5.79  337979.  3.56  -0.71   0.64   5.0   10.67  -35.88  -14.43   12.27   -0.14    1.28   343
1981  37 10 25  37 10 25 50 50   5   1 100    -98      0  0.00     61   13.73   -1.14  -13.23    3.43  -13.52    1.98    0.07    0.50   550.2  -546.6   -20.0   -59.4   6.18  238302.  3.74  -1.09   0.50   5.0   10.68  -35.87  -14.44   12.17   -0.22    1.32   427
1981  37 10 30  37 10 30 50 50   5   1 100   -104      0  0.00     61   13.60    0.55  -13.17    3.18  -13.44    1.74    0.20    0.71   533.4  -530.1   -15.7   -56.7   6.34  239082.  3.61  -0.93   0.52   4.9   10.73  -35.85  -14.46   12.24   -0.32    1.30   620
1981  37 10 32  37 10 32 50 50   5   1 100    -99      0  0.00     57   13.42   -3.40  -12.34    3.87  -12.68    2.52    0.02    0.55   566.5  -564.6   -12.8   -44.4   5.71  268736.  3.66  -1.43   0.52   5.0   10.74  -35.85  -14.47   12.25   -0.36    1.01   797
1981  37 10 33  37 10 33 50 50   5   2 100   -102      1  0.00     62   13.34   -2.13  -12.51    3.95  -12.86    2.58    0.02    0.86   552.8  -550.9   -20.1   -40.5   5.79  309144.  3.54  -1.43   0.59   5.0   10.75  -35.84  -14.48   12.33   -0.26    0.92   752
1981  37 11 12  37 11 12 50 50   5   1 100   -105      0  0.00     60   13.88    1.47  -11.79    7.01  -12.48    5.69    0.09    0.94   521.4  -521.3    -1.8    11.8   6.58  258953.  3.58  -2.97   0.55   4.8   11.09  -35.69  -14.65   12.40   -0.66   -0.29   315
1981  37 11 14  37 11 14 50 50   5   1 100   -102      0  0.00     58   13.79   -1.20  -11.77    6.77  -12.44    5.45    0.04    0.91   550.2  -550.0    -2.9    16.3   5.71  221420.  3.46  -3.00   0.44   4.8   11.10  -35.68  -14.66   12.44   -0.61   -0.36   300
1981  37 11 20  37 11 20 50 50   6   1 100   -102      0  0.00     60   13.61   -2.21  -10.91    7.80  -11.70    6.56    0.11    0.52   550.9  -550.7   -10.6    12.5   6.50  263009.  3.95  -3.61   0.57   5.2   11.15  -35.66  -14.68   12.17   -0.41   -0.28   279
1981  37 11 21  37 11 21 50 50   5   1 100   -106      0  0.00     63   13.62   -0.44  -11.24    7.58  -12.00    6.30    0.05    1.02   533.3  -532.9   -16.7    14.0   6.81  292180.  3.87  -3.36   0.64   5.1   11.16  -35.65  -14.69   12.22   -0.32   -0.32   277
1981  37 11 22  37 11 22 50 50   5   1 100   -108      0  0.00     61   13.60    0.20  -10.93    8.04  -11.75    6.79    0.10    0.35   534.7  -534.3   -14.0    15.9   6.65  248534.  3.80  -3.63   0.56   5.1   11.17  -35.65  -14.69   12.27   -0.35   -0.34   251
1981  37 11 24  37 11 24 50 50   5   1 100   -118      1  0.00     66   13.88    1.16  -11.29    7.88  -12.09    6.59    0.22    1.12   520.2  -520.0   -14.5     0.0   5.47  285393.  2.96  -3.43   0.49   4.4   11.19  -35.64  -14.70   12.81   -0.38   -0.07   262
1981  37 11 25  37 11 25 50 50   5   1 100   -119      0  0.00     60   14.31    2.47  -12.21    7.01  -12.91    5.62    0.01    0.32   520.2  -520.0   -14.5     0.0   5.47  285393.  2.96  -2.92   0.46   4.3   11.19  -35.64  -14.70   12.82   -0.39   -0.08   261
1981  37 11 26  37 11 26 50 50   5   1 100   -116      0  0.01     57   14.26    2.22  -11.48    8.09  -12.30    6.77    0.06    0.57   526.9  -526.6   -12.9    12.9   6.42  327151.  3.56  -3.57   0.60   4.7   11.21  -35.63  -14.72   12.60   -0.40   -0.23   242
1981  37 11 27  37 11 27 50 50   5   2 100   -115      0  0.00     59   14.27    2.18  -11.56    8.04  -12.38    6.71    0.03    0.47   526.9  -526.6   -12.7    13.2   6.41  325281.  3.56  -3.54   0.59   4.7   11.21  -35.63  -14.72   12.54   -0.47   -0.41   231
1981  37 11 28  37 11 28 50 50   5   1 100   -119      2  0.00     63   14.24    2.39  -11.96    7.27  -12.69    5.90    0.04    0.74   527.7  -527.2    -6.4    23.0   6.02  263009.  3.35  -3.11   0.48   4.5   11.22  -35.63  -14.72   12.68   -0.56   -0.43   227
1981  37 11 29  37 11 29 50 50   5   1 100   -127      2  0.00     67   14.08    3.65  -11.26    7.47  -12.02    6.17    0.06    1.29   497.7  -497.6    -7.8     0.0   5.94  342536.  2.94  -3.07   0.59   4.3   11.24  -35.62  -14.73   12.89   -0.57   -0.12   220
1981  37 11 30  37 11 30 50 50   5   1 100   -130      0  0.00     63   14.18    4.38  -11.23    7.40  -11.98    6.11    0.05    0.47   497.7  -497.6    -7.8     0.0   5.94  342536.  2.94  -3.04   0.58   4.3   11.24  -35.62  -14.73   12.95   -0.62   -0.01   219
