<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni_min data from 1981010100 to 1981123123</B><hr><pre>Selected parameters:
 1 Day
 2 Hour
 3 Minute
 4 ID for IMF spacecraft
 5 ID for SW Plasma spacecraft
 6 # of points in IMF averages 
 7 # of points in Plasma averages
 8 Percent of Interpolation
 9 Timeshift
10 RMS, Timeshift
11 RMS Min_var
12 Time btwn observations,sec
13 Field magnitude average, nT
14 BX, nT (GSE, GSM)
15 BY, nT (GSE)
16 BZ, nT (GSE)
17 BY, nT (GSM)
18 BZ, nT (GSM)
19 RMS SD B scalar, nT
20 RMS SD field vector, nT
21 Speed, km/s
22 Vx Velocity,km/s
23 Vy Velocity, km/s
24 Vz Velocity, km/s
25 Proton Density, n/cc
26 Proton Temperature, K
27 Flow pressure, nPa
28 Electric field, mV/m 
29 Plasma beta
30 Alfven mach number
31 S/C, Xgse,Re
32 S/C, Ygse,Re
33 S/c, Zgse,Re
34 BSN location, Xgse,Re
35 BSN location, Ygse,Re
36 BSN location, Zgse,Re
37 AE-index, nT

YYYY DOY HR MN  1   2  3  4  5  6   7   8      9     10    11     12      13      14      15      16      17      18      19      20      21      22      23      24     25       26    27     28     29    30      31      32      33      34      35      36    37 
1981  36  3 40  36  3 40 50 50   6   2   0    795     13  0.01     98    6.15    4.06    2.68   -3.74    3.86   -2.50    0.01    0.35   364.2  -363.9   -14.7     3.5   5.70   94577.  1.51   0.91   1.40   7.1   -5.85  -37.56   -4.35   13.30   -0.57   -0.08   127
1981  36  3 41  36  3 41 50 50  31  10  94    168    214  0.16    687    6.04    3.71    3.09   -3.59    4.19   -2.21    0.04    0.49   366.1  -366.0    -8.4     0.2   5.74   88109.  1.54   0.81   1.42   7.3   -5.74  -37.59   -4.43   13.26   -0.78   -0.09   127
1981  36  3 42  36  3 42 50 50  43   9  95    202    341  0.28     26    6.00    3.64    2.99   -3.64    4.11   -2.30    0.06    0.71   372.8  -372.6   -10.3     3.4   5.72   81633.  1.59   0.86   1.39   7.4   -5.73  -37.59   -4.44   13.20   -0.71   -0.15   134
1981  36  3 43  36  3 43 50 50  19   2  79    551    440  0.35   -289    6.09    3.83    3.03   -3.57    4.12   -2.22    0.05    0.68   367.4  -367.3    -7.7     0.0   5.34   80295.  1.44   0.82   1.25   7.0   -5.81  -37.57   -4.39   13.35   -0.75   -0.11   136
1981  36  4 19  36  4 19 50 50   3   1 100   -268      5  0.01 999999    6.39    0.66    1.03   -6.28    3.06   -5.58    0.02    0.06   392.7  -392.3   -18.5     0.7   5.34   39836.  1.65   2.19   0.92   7.1   -5.33  -37.68   -4.71   12.68   -0.37   -0.00   183
1981  36  4 20  36  4 20 50 50  13   1 100   -322     23  0.03    113    6.36    0.51    1.12   -6.23    3.13   -5.50    0.03    0.24   394.4  -393.7   -19.9   -13.8   5.26   34356.  1.64   2.17   0.88   7.1   -5.31  -37.68   -4.72   12.70   -0.33    0.31   188
1981  36  4 21  36  4 21 50 50  12   2 100   -405     21  0.03    143    6.37    0.22    0.85   -6.31    2.89   -5.67    0.02    0.24   395.2  -394.2   -24.0   -13.8   5.08   35446.  1.59   2.24   0.85   7.0   -5.30  -37.69   -4.73   12.75   -0.20    0.45   193
1981  36  4 22  36  4 22 50 50  11   3 100   -481     19  0.03    135    6.42    0.38    0.35   -6.38    2.44   -5.91    0.04    0.28   388.9  -388.0   -24.6   -11.1   5.25   34806.  1.59   2.30   0.86   6.9   -5.27  -37.69   -4.75   12.76   -0.13    0.40   195
1981  36  4 23  36  4 23 50 50  10   2 100   -553     18  0.03    132    6.42    1.06   -0.92   -6.09    1.14   -6.05    0.06    1.39   385.1  -383.3   -36.0     6.6   5.01   38779.  1.49   2.33   0.85   6.7   -5.26  -37.69   -4.76   12.92    0.07    0.04   218
1981  36  4 24  36  4 24 50 50   7   1  29   -594      3  0.01    101    6.50    1.10    0.54   -6.37    2.60   -5.84    0.01    0.16   384.4  -383.4   -23.5   -13.4   5.17   34669.  1.53   2.24   0.83   6.7   -5.25  -37.70   -4.77   12.86   -0.13    0.34   229
1981  36  4 25  36  4 25 50 50   5   2   0   -596      2  0.01     61    6.50    1.07    0.41   -6.39    2.48   -5.90    0.02    0.18   385.6  -384.1   -33.8    -8.7   5.01   38842.  1.49   2.28   0.82   6.6   -5.23  -37.70   -4.77   12.88    0.06    0.35   230
1981  36  4 26  36  4 26 50 50  28   4  61   -797    178  0.16    260    6.38    0.61    0.15   -6.31    2.21   -5.91    0.12    0.69   388.4  -387.4   -24.0   -12.0   5.34   34389.  1.61   2.30   0.89   7.0   -5.21  -37.70   -4.79   12.75   -0.14    0.30   234
1981  36  4 27  36  4 27 50 50  24   3  63   -912    109  0.09    175    6.28    0.89   -0.36   -6.20    1.68   -5.98    0.08    0.31   387.3  -386.0   -28.4   -11.5   5.25   37261.  1.58   2.32   0.92   7.1   -5.15  -37.72   -4.83   12.75   -0.07   -0.01   240
1981  36  4 28  36  4 28 50 50   8   3   0  -1097     13  0.01    244    6.33    0.43   -0.36   -6.31    1.71   -6.08    0.04    0.09   387.5  -386.3   -28.3     7.2   4.94   27555.  1.48   2.36   0.80   6.8   -5.14  -37.72   -4.84   12.88   -0.05   -0.04   247
1981  36  4 30  36  4 30 50 50   4   1   0  -1304    151  0.08    248    6.18    1.73   -1.28   -5.64    0.61   -5.75    0.08    1.36   386.6  -385.3   -29.7    -9.4   5.26   34982.  1.57   2.22   0.94   7.2   -5.11  -37.73   -4.86   12.89    0.08   -0.08   243
1981  36  4 31  36  4 31 50 50  18   2   6  -1172    130  0.07    -72    6.15    0.92   -0.77   -5.78    1.14   -5.72    0.17    1.66   395.1  -394.4   -23.4     2.8   5.51   31017.  1.72   2.26   0.97   7.5   -5.10  -37.73   -4.86   12.82    0.00    0.00   246
1981  36  4 32  36  4 32 50 50  20   2  10  -1233    149  0.09    120    6.15    2.57   -1.91   -5.03   -0.19   -5.38    0.16    1.48   385.7  -384.4   -30.4    -7.3   5.17   33785.  1.54   2.08   0.92   7.1   -5.11  -37.73   -4.86   13.02    0.14   -0.15   262
1981  36  4 33  36  4 33 50 50   6   1  17  -1289     99  0.05    116    6.14    2.98   -2.15   -4.88   -0.47   -5.31    0.09    0.66   378.3  -376.4   -36.2     9.9   5.34   40505.  1.53   2.01   1.00   7.1   -5.05  -37.74   -4.90   13.05    0.20   -0.28   273
1981  36  4 35  36  4 35 50 50   2   1 100  -1321      0  0.00     20    6.24    2.78   -2.16   -5.15   -0.40   -5.57    0.00    0.00   377.1  -375.0   -39.4     7.9   5.43   44624.  1.54   2.10   1.00   7.0   -5.04  -37.75   -4.91   13.00    0.33   -0.28   288
1981  36  4 36  36  4 36 50 50   2   1 100  -1288     10  0.01     27    6.23    2.93   -2.01   -5.11   -0.28   -5.48    0.01    0.03   377.1  -375.0   -39.4     7.9   5.43   44624.  1.54   2.07   1.01   7.1   -5.04  -37.75   -4.91   13.03    0.35   -0.24   244
1981  36  4 38  36  4 38 50 50   3   1 100  -1221      6  0.00     30    6.21    2.76   -2.05   -5.17   -0.31   -5.55    0.03    0.09   374.6  -372.3   -41.1     5.2   5.34   55326.  1.50   2.08   1.06   7.0   -5.03  -37.75   -4.92   13.09    0.38   -0.18   267
1981  36  4 46  36  4 46 50 50   2   1 100   -977      6  0.01     32    6.06    2.92   -1.21   -5.11    0.43   -5.23    0.01    0.56   374.3  -372.8   -33.3     5.2   4.65   60866.  1.30   1.96   1.00   6.7   -4.99  -37.76   -4.95   13.38    0.10   -0.19   246
